url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool
https://immovlan.be/en/detail/office-space/for-sale/2440/geel/rbu64678,rbu64678,192387.0,New,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Double glass,NaN,NaN,NaN,NaN,NaN,NaN,148.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/6724/houdemont/vbc11382,vbc11382,279000.0,New,NaN,2.0,87.0,1.0,NaN,NaN,NaN,Super equipped,NaN,1.0,NaN,1.0,Gas,NaN,0.0,4.0,1.0,NaN,0.0,11.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu65236,rbu65236,208000.0,Normal,On contract,2.0,97.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,Gas,NaN,0.0,NaN,1.0,NaN,0.0,16.0,NaN,NaN
https://immovlan.be/en/detail/land/for-sale/9570/lierde/rbu67306,rbu67306,250000.0,NaN,On contract,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2535.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/8730/beernem/rbu60795,rbu60795,330500.0,New,NaN,2.0,105.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,Double glass,0.0,2.0,0.0,NaN,0.0,10.0,NaN,1.0
https://immovlan.be/en/detail/residence/for-sale/8020/waardamme/rbu60580,rbu60580,368919.0,New,NaN,3.0,130.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,2.0,NaN,NaN,NaN,3.0,0.0,NaN,1.0,NaN,221.0,NaN
https://immovlan.be/en/detail/residence/for-sale/7712/herseaux/vbd49244,vbd49244,215000.0,To restore,On contract,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,NaN,NaN,NaN,NaN,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/1490/court-saint-etienne/vbd35022,vbd35022,224000.0,New,NaN,1.0,56.0,1.0,NaN,0.0,NaN,Super equipped,NaN,1.0,NaN,1.0,NaN,NaN,0.0,NaN,0.0,NaN,0.0,9.0,NaN,1.0
https://immovlan.be/en/detail/mixed-building/for-sale/5000/namur/vbd18489,vbd18489,795000.0,Normal,On contract,6.0,256.0,1.0,0.0,0.0,NaN,NaN,NaN,1.0,1.0,2.0,Fuel oil,Double glass,1.0,2.0,0.0,NaN,0.0,45.0,2393.0,1.0
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu64985,rbu64985,225000.0,Normal,On contract,1.0,62.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,Gas,NaN,1.0,2.0,1.0,NaN,1.0,NaN,NaN,NaN
https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu64288,rbu64288,239000.0,To be renovated,On contract,4.0,148.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,Gas,NaN,1.0,2.0,1.0,NaN,1.0,NaN,65.0,NaN
https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vwd11967,vwd11967,286000.0,NaN,NaN,2.0,94.0,NaN,NaN,0.0,NaN,Fully equipped,NaN,1.0,NaN,NaN,Gas,Double glass,0.0,3.0,NaN,NaN,0.0,14.0,NaN,NaN
https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu64962,rbu64962,427811.0,New,On contract,2.0,91.0,1.0,NaN,0.0,NaN,NaN,NaN,1.0,NaN,NaN,Not specified,NaN,0.0,4.0,0.0,NaN,0.0,17.0,NaN,NaN
https://immovlan.be/en/detail/studio/for-sale/4101/jemeppe/vbd36391,vbd36391,171000.0,New,NaN,1.0,45.0,1.0,NaN,NaN,NaN,Fully equipped,Western kitchen,1.0,1.0,1.0,NaN,Double glass,0.0,2.0,1.0,NaN,0.0,4.0,NaN,1.0
